No,AT,Date,V1,V2,V3,V4,V5,V6,V7,V8,AVG
1,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/1/2015,14.7,14.5,14.7,16.6,16.2,16.7,18.4,17.4,16.2
2,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/2/2015,14.4,15,14.4,14,15,15.4,16.2,15.7,15
3,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/3/2015,16.8,16.3,15,17,17.9,18.2,18.6,18.6,17.3
4,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/4/2015,16.7,16.8,17,18,19.2,20.3,21,21.1,18.8
5,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/5/2015,21.3,19.9,19.9,20.7,18.6,19.9,18.7,20.8,20
6,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/6/2015,21.7,22.5,22.6,21.9,19.2,19,22.8,21.1,21.4
7,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/7/2015,22.2,22,22.5,24.3,21.2,21.1,22.8,22.9,22.4
8,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/8/2015,24.7,22.9,23.7,23.5,22.9,22.2,22.4,22.1,23
9,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/9/2015,22.4,22.7,21.4,20.4,20.1,20,20.7,21.4,21.1
10,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/10/2015,22.2,21.7,23.1,23,22.5,21.9,21.9,21.5,22.2
11,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/11/2015,20.4,20.3,19.9,20.1,18.3,17.9,17.6,18,19.1
12,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/12/2015,18,16.9,16.2,17.2,16.9,17.1,17,16.6,17
13,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/13/2015,16.4,16.2,15.6,15.6,15.4,16,16,16.8,16
14,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/14/2015,17.3,15.3,13,13,14.2,11.8,13.4,13.9,14
15,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/15/2015,12.1,13,14.3,13.2,13,13.9,15,14.5,13.6
16,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/16/2015,14.7,14.9,13.4,12.5,11.4,10.1,15.6,15.6,13.5
17,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/17/2015,12.2,11.8,12.5,14,13.6,14.7,16.3,15.7,13.9
18,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/18/2015,15.6,15.6,14.7,15.5,16.4,16.7,18,16.2,16.1
19,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/19/2015,16.3,16.3,14.7,16,16.4,15.5,16.6,18.6,16.3
20,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/20/2015,15.7,15.9,17,17.1,16.8,16.5,18.1,19.1,17
21,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/21/2015,18.9,16.9,17,17.4,17.1,14.7,16.9,19.1,17.2
22,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/22/2015,17.9,18.3,19.1,15.9,14.7,14.1,19.3,19.1,17.3
23,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/23/2015,18,19.7,20.3,17,16.3,19.3,21.6,21.7,19.2
24,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/24/2015,22.4,22.1,22.1,22.4,19,16.5,19.6,22.7,20.8
25,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/25/2015,23.1,23,22.9,23.1,21.2,19.2,22.3,23.5,22.3
26,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/26/2015,23.4,23.7,23.5,22,19.9,20.8,21.8,22.9,22.3
27,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/27/2015,23.7,23.6,23.1,22.2,21.5,20.4,19.9,21.9,22
28,455201-กรุงเทพมหานคร จ.กรุงเทพมหานคร,1/28/2015,23.8,23.7,23.5,23,22,20.8,22.2,23.9,22.9
