 maxtemp,dewp,meanrh,meantemp,mintemp,rain
32.9571428571,18.9857142857,60.8571428571,27.5857142857,22.8857142857,0.0
31.4285714286,18.8428571429,63.2857142857,26.6142857143,22.2428571429,0.0285714285714
31.7714285714,16.7428571429,58.4285714286,26.0142857143,20.7714285714,0.0
33.8428571429,19.1428571429,57.5714285714,28.6285714286,24.3857142857,0.0
32.7571428571,17.5857142857,57.5714285714,27.0428571429,22.6142857143,0.0
34.5571428571,22.1428571429,70.2857142857,28.7142857143,25.0285714286,0.0
33.6857142857,23.8142857143,76.2857142857,28.7142857143,25.9571428571,0.2
34.4,24.2714285714,77.0,28.9428571429,26.1857142857,1.5
33.4714285714,24.6285714286,78.8571428571,28.9,25.6142857143,5.41428571429
34.7,24.3571428571,75.2857142857,29.5857142857,26.2571428571,0.3
30.1714285714,21.7571428571,79.0,25.9285714286,23.1,9.1
32.5857142857,23.2285714286,77.4285714286,27.8428571429,24.0714285714,11.3428571429
28.0285714286,18.0857142857,68.5714285714,24.3571428571,22.0857142857,0.0142857142857
34.1571428571,24.2428571429,75.8571428571,29.1857142857,26.0571428571,0.357142857143
33.3428571429,24.6428571429,79.5714285714,28.7428571429,25.6714285714,3.95714285714
35.1571428571,24.9,75.0,30.1142857143,26.8285714286,0.0428571428571
33.9428571429,25.0571428571,81.1428571429,28.9428571429,26.1571428571,14.4428571429
35.6571428571,25.4857142857,75.5714285714,30.6142857143,26.9714285714,13.2571428571
34.2428571429,24.9571428571,78.2857142857,29.3428571429,26.4571428571,7.91428571429
34.3428571429,25.4,82.7142857143,28.8714285714,25.8142857143,12.7
35.0285714286,24.9571428571,76.2857142857,29.9,26.5142857143,8.92857142857
34.6571428571,25.3142857143,77.5714285714,29.8857142857,26.7714285714,10.7571428571
33.4714285714,25.8428571429,84.5714285714,28.9285714286,25.8,21.3714285714
32.8142857143,24.6428571429,79.4285714286,28.6571428571,26.4714285714,3.17142857143
33.6428571429,24.1714285714,74.0,29.4571428571,26.9857142857,0.4
33.4,24.8857142857,78.5714285714,29.2,27.1714285714,30.0714285714
34.3428571429,24.4142857143,76.2857142857,29.3285714286,25.6285714286,1.35714285714
33.9142857143,24.7571428571,78.5714285714,29.1,26.2428571429,10.5285714286
32.5,24.8285714286,83.1428571429,28.1857142857,25.7142857143,7.17142857143
33.7714285714,24.4714285714,79.0,28.7428571429,25.2714285714,16.4428571429
32.1142857143,24.7571428571,81.5714285714,28.3285714286,25.9285714286,11.4571428571
